Date,SPY,QQQ,TLT,GLD,HYG,SHY
2020-01-31,-0.030787747192077997,-0.024578201169088376,0.0,0.0,-0.01017802535765533,0.0
2020-02-03,-0.023588172283582898,-0.00984016326295778,-0.0008099074291239017,-0.006495688802043431,-0.01033652820452835,-0.00029388624225179516
2020-02-04,-0.00870644864295822,0.0,-0.014265828843315287,-0.019420137411866878,-0.004431688468619521,-0.0013526449087039039
2020-02-05,0.0,0.0,-0.025044907558438356,-0.018214700243427195,-0.0003440315247794645,-0.002058864656510062
2020-02-06,0.0,0.0,-0.020650805642262515,-0.012924448609823114,0.0,-0.0018233196605124125
2020-02-07,-0.0053296407234426635,-0.004300676917261104,-0.008430865693534462,-0.010312787290153058,-0.001475833133570137,-0.001235754796102273
2020-02-10,0.0,0.0,-0.005684212110506182,-0.00776805496474664,-0.00011359114731290809,-0.000764249563920183
2020-02-11,0.0,0.0,-0.010695482710961546,-0.011183272942262623,0.0,-0.001235754796102273
2020-02-12,0.0,0.0,-0.01570770182886183,-0.011986931781779231,0.0,-0.0017063257378640007
2020-02-13,-0.0010668779045330812,-0.001280743071585544,-0.011931527410921183,-0.006361728631845476,0.0,-0.001470884551913132
2020-02-14,0.0,0.0,-0.007606667268237444,-0.002209882990747092,-0.00011355659623180081,-0.0009998983699646136
2020-02-18,-0.002577045275598322,0.0,-0.0008099074291237907,0.0,-0.002149693663954344,-0.0006465289709448596
2020-02-19,0.0,0.0,-0.0008784536231563056,0.0,-0.0016971042401051628,-0.0005294312382496669
2020-02-20,-0.004108253628008152,-0.00928346704635774,0.0,0.0,-2.220446049250313e-16,-0.0002938862422520172
2020-02-21,-0.014363984125622675,-0.02831448095385314,0.0,0.0,-0.0009048757067580127,0.0
2020-02-24,-0.047053144263915936,-0.06578595283984334,0.0,0.0,-0.011650494501690312,0.0
2020-02-25,-0.07592935864598183,-0.091188944290579,0.0,-0.017874260693127697,-0.018550224815384264,0.0
2020-02-26,-0.0793281627478003,-0.0865050520626599,-0.005296418711415285,-0.013581876910281343,-0.01753258067883945,0.0
2020-02-27,-0.12067738414471108,-0.13224724670585863,0.0,-0.01338968791674755,-0.030765834657958346,0.0
2020-02-28,-0.12437189091493028,-0.13157210611726833,0.0,-0.04939452646528453,-0.026807723400625427,0.0
2020-03-02,-0.08645157686211513,-0.08675840516626565,-0.007357100352637258,-0.04414119771476921,-0.019422179416026863,-0.00040895599215717837
2020-03-03,-0.1126085308245851,-0.11604347170452767,0.0,-0.014094413478489831,-0.023626137975932826,0.0
2020-03-04,-0.0753090344567634,-0.07916275618512003,-0.01061908147198487,-0.012364614780330574,-0.010220093660850083,0.0
2020-03-05,-0.10604710969887987,-0.10713983387599624,0.0,0.0,-0.02271756394970348,0.0
2020-03-06,-0.12082523547891166,-0.12220445528648494,0.0,0.0,-0.033737282782843714,0.0
2020-03-09,-0.18948387152173085,-0.18317990615913315,0.0,0.0,-0.07531924681844515,0.0
2020-03-10,-0.14754378763337117,-0.1387036084711074,-0.051258288813122554,-0.02110133630677158,-0.061117821304236264,-0.004384385873932417
2020-03-11,-0.1890995370121339,-0.1762173726868922,-0.08616907836451992,-0.024586559424867205,-0.08156807290515389,-0.005538342819029318
2020-03-12,-0.26668432723546953,-0.251751139637982,-0.08050739617170943,-0.06349410320940263,-0.11826407189339072,-0.0057692765087378195
2020-03-13,-0.203996003079019,-0.1883701037190998,-0.10129012859405628,-0.0920727393960068,-0.09054292421149146,-0.004499852718786612
